source_site,product_url,image_url,brand,variant_id,product_id,price_egp,original_price_egp,in_stock,is_best_seller,is_new_arrival,seller_name,category_l3,model,storage_gb,ram_gb,network,sim_config,color
btech,https://btech.com/en/p/ad155882-832f-4e5e-8bbd-e6a6e1afb180,8/3/0/5/8305f77b97015a96f73864b6bb1edd9edc8224aa_Honor_600_5G_black_2.jpg,Honor,ad155882-832f-4e5e-8bbd-e6a6e1afb180,609ecdae-2293-46e2-9c0d-14296e9cc483,26999.0,26999.0,True,False,False,ISM Mobile Shop,Smart Phones,Honor 600,256.0,8.0,5G,Dual-SIM,Black
btech,https://btech.com/en/p/motorola-moto-g85-256gb-12gb-5g-dual-sim-urban-grey,4/7/9/3/4793d6fb0fee3a151552aef05204ac0de28224e6_0108939f6ad16bcc299cd1a4973016f957ef8d27efb591fc04b0c1f7591dec75.png,Motorola,c5ade289-c24e-441c-9e33-26d9344d2489,fb33cb06-b3a7-4a12-9e11-779f8896a421,13111.0,13111.0,True,False,False,Elhashim Store,Smart Phones,Motorola Moto G85,256.0,12.0,5G,Dual-SIM,Urban Grey
btech,https://btech.com/en/p/2055e1ea-343c-447d-ae05-b602937773f8,f/e/8/a/fe8aa4ce0465438049301e4ecfc723cd95aa2c03_B6000014484T.jpg,Honor,2055e1ea-343c-447d-ae05-b602937773f8,88f60e9b-55c5-44e4-bc78-f24ec65e4eaf,28110.0,28110.0,True,False,False,First mobile,Smart Phones,Honor 600,256.0,8.0,5G,Dual-SIM,Orange
btech,https://btech.com/en/p/36596e8f-869f-4b90-a36f-b9af314bbcb0,5/a/b/7/5ab7a40bbef56021a2f68e88380f22c7e5f2ac90_imgi_20_S26_ultra_black4_eg4s_qa.jpg,Samsung,36596e8f-869f-4b90-a36f-b9af314bbcb0,30646fc8-23ba-46f9-b762-b09ea2af3a5a,71400.0,72400.0,True,False,False,B.TECH,Smart Phones,Samsung Galaxy S26 Ultra,256.0,12.0,5G,Dual-SIM,Black
btech,https://btech.com/en/p/d374e20d-db6f-49dd-bf58-d5d95c4c7256,7/a/9/6/7a96cfbb964ac317264e6e1c45fd44a8fbe60938_imgi_20_S26_ultra_black4_eg4s_qa.jpg,Samsung,d374e20d-db6f-49dd-bf58-d5d95c4c7256,30646fc8-23ba-46f9-b762-b09ea2af3a5a,79999.0,79999.0,True,False,False,Ehab Group,Smart Phones,Samsung Galaxy S26 Ultra,512.0,12.0,5G,Dual-SIM,Black
btech,https://btech.com/en/p/xiaomi-redmi-note-14-pro-plus-256gb-12gb-4g-dual-sim-black,6/9/c/b/69cb30650dd7a18d9e93e02e16e855fbed9373e9_93caf6acbb2367b61bbb0975d4d4a6ddffd02ca874f738d131095a313427e147.jpeg,Xiaomi,a7b39fcb-3950-49dc-ac2d-73804f600046,08edd782-da36-4161-8f28-422d635b51ed,20794.0,20794.0,True,False,False,B.TECH,Smart Phones,Xiaomi Redmi Note 14 Pro Plus,256.0,12.0,4G,Dual-SIM,Midnight Black
btech,https://btech.com/en/p/7f724ff0-321d-44c5-9ea1-e7b27dcc0b59,f/e/b/e/febead77b9082d99c0b23a2188eb7561e4ae10eb_1__1_.jpg,Samsung,7f724ff0-321d-44c5-9ea1-e7b27dcc0b59,b34b0a40-c379-498f-b653-947090136a05,38500.0,38500.0,True,False,False,B.TECH,Smart Phones,Samsung Galaxy S25 FE,256.0,8.0,5G,Dual-SIM,Jet Black
btech,https://btech.com/en/p/c3640c65-ded8-42b6-9110-faa2c9bcac10,d/0/c/0/d0c0c670ddb42712ec9c686ddaf5ed3939a6769f_xiaomi_redmi_note_15_4g_6gb_128gb_6_77_amoled_5800mah_verde_bosque.jpg,Xiaomi,c3640c65-ded8-42b6-9110-faa2c9bcac10,23387a55-9c18-46bb-91be-91126d008991,13200.0,13200.0,True,False,False,VOOC,Smart Phones,Xiaomi Redmi Note 15,256.0,8.0,4G,Dual-SIM,Forest Green
btech,https://btech.com/en/p/52ca3370-ec48-47f7-87f0-caaa6c296479,a/f/3/1/af31e5358473a7ed18fec8c4230965d299b1d3a8_Screenshot_2026_01_18_101357.png,Oppo,52ca3370-ec48-47f7-87f0-caaa6c296479,89ec565b-1663-465c-8814-26a6d05c89f4,30300.0,30300.0,True,False,False,Elhashim Store,Smart Phones,Oppo Reno 15,256.0,12.0,5G,Dual-SIM,Twilight Blue
btech,https://btech.com/en/p/0d182905-4588-4795-853c-d6e1cfa65071,c/b/8/8/cb88a0075788ac0ff127cacf1d4d4a1a970ef8fb_4d5c01104c84c301cdf826e6cfdbcb15_removebg_preview.jpg,Vivo,0d182905-4588-4795-853c-d6e1cfa65071,a696f229-eb64-414a-b656-8d59ef50133f,16144.0,16144.0,True,False,False,Elhashim Store,Smart Phones,Vivo V60 Lite,256.0,8.0,4G,Dual-SIM,Black
